No.,text,Valence_Mean,Arousal_Mean,Valence_SD,Arousal_SD
598,超羡慕,7.188,7.25,0.242,0.612
599,超级羡慕,7.189,5.925,0.772,0.576
600,万分羡慕,7.0,6.867,0.624,0.842
601,完全解决,7.333,5.333,0.471,0.471
602,挺诚实,7.5,5.25,0.415,0.809
603,老遇到,5.25,5.75,0.433,0.866
604,还遇到,5.188,5.417,0.348,0.449
605,老游戏,5.167,4.563,0.373,1.044
606,完全违背,1.78,6.843,0.542,0.663
607,极其厌恶,1.444,8.222,0.831,0.749
608,完全对,7.0,5.222,0.0,0.416
609,更对,6.671,5.48,0.523,0.293
610,挺对,7.143,5.667,0.35,0.624
611,太惨,2.0,6.0,0.0,0.0
612,好惨,2.0,6.0,0.0,0.0
613,很惨,2.0,6.0,0.0,0.0
614,挺惨,1.878,6.114,0.187,0.259
615,越惨,2.188,5.417,0.276,0.449
616,还惨,2.5,5.825,0.384,0.421
617,蛮惨,2.34,6.022,0.448,0.755
618,有点惨,3.0,4.578,0.522,0.563
619,最惨,1.667,6.375,0.471,0.484
620,稍惨,3.329,4.444,0.403,0.658
621,愈惨,2.122,5.925,0.282,0.412
622,太慢,3.0,5.222,0.816,0.786
623,有点慢,4.0,2.556,0.0,0.497
624,特别慢,2.88,4.057,0.635,0.489
625,略慢,4.5,3.25,0.333,0.559
626,最慢,3.125,5.571,0.781,1.05
627,稍慢,4.0,2.375,0.0,0.484
628,稍微慢,3.822,3.163,0.29,0.644
629,越慢,4.0,3.333,0.0,0.471
630,愈慢,3.9,3.188,0.389,0.496
631,十分满意,8.056,7.167,0.283,0.577
632,非常满意,8.0,7.0,0.0,0.0
633,相当满意,8.0,6.556,0.0,0.497
634,超级满意,7.975,6.925,0.259,0.538
635,蛮满意,7.433,6.278,0.457,0.454
636,超满意,8.333,6.95,0.527,0.789
637,好漂亮,8.0,7.0,0.0,0.0
638,挺漂亮,7.438,6.275,0.39,0.268
639,超漂亮,8.222,7.389,0.478,0.393
640,超级漂亮,7.813,7.144,0.379,0.501
641,越漂亮,7.567,6.95,0.447,0.265
642,蛮漂亮,7.267,6.23,0.544,0.852
643,更加精彩,8.144,7.8,0.499,0.499
644,更为精彩,7.88,7.711,0.626,0.621
645,十分紧张,2.975,7.738,0.066,0.264
646,太紧张,2.844,7.25,0.833,0.653
647,好紧张,3.0,8.0,0.0,0.0
648,有点紧张,3.389,7.1,0.482,0.657
649,更加紧张,2.889,7.563,0.657,0.527
650,相当紧张,2.333,7.889,0.471,0.314
651,格外紧张,2.6,7.667,0.41,0.211
652,略微紧张,3.544,6.833,0.486,0.735
653,异常紧张,2.444,7.786,0.762,0.589
654,愈紧张,3.388,7.389,0.42,0.774
655,万分紧张,2.325,8.075,0.286,0.307
656,更为紧绷,2.975,7.925,0.185,0.222
657,异常紧绷,2.611,7.813,0.843,0.428
658,太认真,7.625,6.222,0.696,0.416
659,非常认真,8.0,6.0,0.0,0.0
660,格外认真,7.767,6.25,0.488,0.412
661,稍稍认真,6.0,4.667,0.0,0.667
662,稍微认真,5.813,4.0,0.242,0.25
663,还认真,6.243,5.417,1.054,0.344
664,比较轻松,6.0,2.375,0.0,0.484
665,更为轻松,6.711,2.3,0.438,0.835
666,格外轻松,6.963,2.475,0.212,1.283
667,稍微轻松,5.667,2.3,0.481,0.624
668,较轻松,6.556,2.444,0.497,0.497
669,较为轻松,6.111,2.411,0.477,0.703
670,略酸,4.333,4.563,0.408,0.527
671,还酸,3.5,5.389,0.463,0.458
672,好恶,2.0,7.0,0.0,0.0
673,超恶,1.5,7.444,0.5,0.497
674,好恶心,2.0,7.556,0.0,0.497
675,怪恶心,1.975,7.071,0.066,0.175
676,异常恶心,1.833,7.55,0.236,0.415
677,超恶心,1.6,7.5,0.49,0.5
678,超级恶心,1.938,7.9,0.086,0.577
679,更为乐观,7.95,6.183,0.166,0.376
680,相当乐观,7.875,6.55,0.415,0.472
681,稍许乐观,5.622,4.5,0.391,1.025
682,较乐观,6.5,5.563,0.577,0.583
683,较为乐观,7.222,4.786,0.592,0.508
684,相当热烈,7.611,8.356,0.296,0.313
685,最为热烈,7.375,8.056,0.415,0.724
686,越加热烈,6.578,7.978,0.643,0.063
687,极为热烈,7.156,7.967,0.552,0.741
688,无比热情,7.567,7.388,0.394,0.302
689,十分热闹,7.667,7.444,0.333,0.369
690,更加热闹,7.089,7.088,0.228,0.22
691,相当热闹,7.0,7.0,0.0,0.0
692,异常热闹,6.929,7.45,0.319,0.415
693,最为热闹,7.838,7.433,0.25,0.416
694,更加确定,6.929,5.733,0.198,0.442
695,越穷,2.74,5.038,0.533,0.472
696,愈穷,2.778,5.278,0.533,0.916
697,稍缓和,5.688,3.375,0.609,0.415
698,稍稍缓和,5.375,3.667,0.545,0.553
699,稍微缓和,5.938,3.957,0.312,0.939
700,较为缓和,5.667,3.267,0.519,0.464
701,十分适合,6.0,4.625,0.0,0.696
702,太适合,6.0,4.778,0.0,0.629
703,尤其适合,6.944,4.35,0.462,0.979
704,好适合,6.222,4.333,0.416,0.471
705,更适合,6.0,4.714,0.0,0.7
706,非常适合,6.375,5.0,0.484,0.535
707,很适合,6.0,4.333,0.0,0.471
708,相当适合,6.444,4.5,0.497,0.5
709,特别适合,6.4,5.125,0.49,0.599
710,最适合,6.25,4.444,0.433,0.497
711,最为适合,7.63,5.02,0.906,0.553
712,较适合,5.444,3.889,0.497,0.737
713,较为适合,5.55,3.91,0.385,0.796
714,蛮适合,5.6,4.0,0.49,0.0
715,比较适合,5.333,3.444,0.471,0.497
716,最为适当,7.733,5.9,0.389,0.903
717,较适当,6.0,4.5,0.0,0.5
718,较为适当,5.875,4.511,0.327,0.348
719,十分震惊,3.04,8.167,0.08,0.527
720,相当震惊,2.889,8.188,0.774,0.348
721,无比震惊,2.929,8.333,0.175,0.445
722,极为震惊,2.644,8.138,0.517,0.193
723,万分震惊,2.663,8.163,0.331,0.269
724,尤其擅长,7.622,6.5,0.286,0.374
725,十分担心,2.62,7.413,0.51,0.491
726,太担心,2.0,7.0,0.0,0.0
727,尤其担心,2.422,7.622,0.439,0.322
728,有点担心,3.0,6.0,0.0,0.0
729,非常担心,2.189,7.55,0.166,0.187
730,相当担心,2.063,7.222,0.165,0.248
731,格外激动,4.333,8.133,0.776,0.653
732,异常激动,4.743,8.278,0.489,0.253
733,无比激动,5.075,8.456,0.884,0.372
734,更积极,7.222,7.0,0.416,0.0
735,更加积极,7.063,7.025,0.165,0.066
736,更为积极,7.333,7.188,0.527,0.556
737,最为积极,7.913,7.8,0.169,0.18
738,较为积极,6.889,7.078,0.679,0.79
739,好兴奋,8.0,8.0,0.0,0.0
740,非常兴奋,8.0,8.0,0.0,0.0
741,相当兴奋,7.667,8.0,0.471,0.0
742,格外兴奋,8.267,7.944,0.316,0.295
743,特别兴奋,7.59,7.925,0.421,0.139
744,无比兴奋,8.375,8.322,0.282,0.297
745,超级兴奋,8.063,8.144,0.165,0.211
746,格外讽刺,2.125,7.267,0.13,0.514
747,极其讽刺,2.05,7.413,0.132,0.42
748,最为踊跃,7.911,7.922,0.472,0.187
749,略输,3.844,3.97,0.324,0.793
750,越输,2.363,4.75,0.469,0.433
751,愈输,2.357,5.0,0.44,0.926
752,还输,2.444,4.556,0.497,0.497
753,十分遗憾,1.556,5.444,0.497,0.497
754,非常遗憾,1.6,6.1,0.49,0.831
755,相当遗憾,1.556,5.667,0.497,0.667
756,极其遗憾,1.844,6.625,0.201,0.65
757,极为遗憾,1.389,6.643,0.458,0.693
758,万分遗憾,2.125,4.9,0.12,0.638
759,完全错误,2.05,5.838,0.112,0.576
760,略优,6.143,5.222,0.44,0.583
761,稍优,5.833,4.75,0.236,0.661
762,较优,7.188,5.733,0.379,0.55
763,无比压力,1.688,7.667,0.556,0.527
764,十分尴尬,2.789,5.788,0.242,0.459
765,有点尴尬,3.6,4.286,0.49,0.452
766,格外尴尬,2.533,6.138,0.323,0.636
767,略尴尬,4.067,4.125,0.291,0.565
768,略微尴尬,3.45,4.3,0.712,0.604
769,无比尴尬,2.167,7.167,0.471,0.667
770,极为尴尬,2.957,5.314,0.199,0.61
771,万分尴尬,2.729,5.529,0.333,0.437
772,还帮忙,7.063,5.889,0.165,0.737
773,略滥用,3.929,4.786,0.678,0.589
774,更糟糕,3.0,6.0,0.0,0.0
775,比较聪明,6.8,4.375,0.872,0.484
776,最聪明,8.0,5.625,0.0,0.484
777,更加艰困,2.5,6.143,0.667,0.953
778,更为艰困,2.267,7.65,0.231,0.158
779,格外艰困,2.713,7.113,0.252,0.293
780,最为艰困,2.067,7.633,0.211,0.429
781,更为艰辛,2.188,7.011,0.247,0.318
782,异常艰辛,1.963,7.5,0.099,0.32
783,无比艰辛,2.156,7.022,0.267,0.621
784,万分艰辛,2.111,7.389,0.737,0.393
785,更加艰难,2.188,7.571,0.556,0.416
786,更为艰难,2.433,7.55,0.337,0.374
787,最为艰难,2.375,8.188,0.545,0.556
788,极其艰难,2.057,7.756,0.09,0.409
789,万分谢意,7.367,7.429,0.481,0.495
790,万分谢谢,7.688,7.5,0.428,0.671
791,太丑,2.444,4.625,0.497,0.484
792,好丑,2.667,4.625,0.471,0.484
793,很丑,2.556,4.889,0.497,0.875
794,最为鲜明,6.6,6.025,0.658,0.657
795,异常向往,6.638,6.567,0.328,0.581
796,更加谨慎,7.163,4.963,0.187,0.755
797,更为谨慎,6.378,5.175,0.429,0.502
798,格外谨慎,6.778,4.075,0.545,0.38
799,特别谨慎,6.678,4.678,0.527,0.459
800,异常谨慎,6.857,6.0,0.44,0.964
801,极其谨慎,6.889,6.16,0.314,1.078
802,极为谨慎,7.333,6.714,0.707,0.589
803,万分谨慎,6.889,4.678,0.572,0.644
804,较为谨慎,6.975,3.99,0.211,1.036
805,十分丰富,7.5,6.375,0.408,0.415
806,更加丰富,7.189,5.975,0.491,0.432
807,更为丰富,7.388,6.129,0.369,0.225
808,相当丰富,7.5,6.25,0.5,0.433
809,最为丰富,7.2,6.313,0.9,0.704
810,极为丰富,8.111,6.713,0.328,0.298
811,较丰富,7.0,5.778,0.667,0.671
812,较为丰富,7.013,5.478,0.385,0.516
813,更丰富,7.0,6.0,0.0,0.0
814,格外怀念,6.767,6.389,0.49,0.664
815,极度怀疑,2.163,6.375,0.234,0.997
816,完全赞同,7.813,6.778,0.496,0.478
817,十分关心,7.5,7.556,0.354,0.55
818,尤其关心,7.888,7.114,0.326,0.203
819,非常关心,7.0,7.333,0.0,0.471
820,相当关心,6.789,6.578,0.321,0.71
821,特别关心,7.333,7.22,0.414,0.527
822,最关心,7.5,7.0,0.5,0.0
823,最为关心,7.667,6.675,0.424,0.521
824,极为关心,7.25,7.563,0.354,0.464
825,十分难过,2.044,6.688,0.306,0.658
826,好难过,2.0,6.5,0.0,0.5
827,相当难过,2.375,6.222,0.484,0.416
828,万分难过,2.025,7.0,0.13,0.552
829,很难过,2.0,6.444,0.0,0.497
830,还愿意,5.571,5.338,0.416,0.485
831,太严重,2.6,8.0,0.49,0.0
832,尤其严重,2.3,7.833,0.2,0.226
833,比较严重,3.375,7.2,0.484,0.872
834,更严重,2.5,8.0,0.5,0.0
835,更加严重,2.444,8.0,0.497,0.0
836,更为严重,2.4,8.0,0.49,0.0
837,非常严重,2.0,8.0,0.0,0.0
838,很严重,2.5,8.0,0.5,0.0
839,挺严重,2.61,7.678,0.499,0.471
840,异常严重,2.111,8.083,0.567,0.186
841,最严重,1.625,8.0,0.484,0.0
842,最为严重,1.78,8.511,0.531,0.451
843,稍微严重,3.889,6.0,0.314,0.267
844,越加严重,2.111,7.75,0.515,0.5
845,越发严重,2.333,7.8,0.373,0.245
846,极其严重,1.789,8.013,0.264,0.127
847,极为严重,1.667,8.15,0.4,0.265
848,较严重,3.333,7.444,0.471,0.685
849,较为严重,3.1,7.111,0.492,0.652
850,还严重,2.943,6.988,0.14,0.816
851,蛮严重,2.725,7.4,0.356,0.552
852,相当严重,2.444,8.0,0.497,0.0
853,特别严重,2.014,8.086,0.035,0.099
854,更加严峻,1.813,7.889,0.242,0.657
855,更为严峻,2.411,7.988,0.378,0.465
856,最为严峻,2.222,7.967,0.199,0.501
857,更严格,2.8,7.711,0.24,0.269
858,更加严格,3.5,7.563,0.378,0.3
859,更为严格,3.363,7.413,0.364,0.271
860,异常严格,2.222,7.688,0.416,0.348
861,最为严格,3.111,6.95,0.698,0.65
862,极其严格,2.278,7.688,0.416,0.496
863,较严格,3.0,7.0,0.667,0.0
864,较为严格,3.644,7.067,0.425,0.521
865,极为严格,2.622,7.938,1.263,0.187
866,格外耀眼,7.225,7.163,0.307,0.234
867,最为耀眼,7.55,7.444,0.383,0.542
868,太烂,2.138,6.756,0.212,0.222
869,更烂,2.0,6.0,0.0,0.0
870,很烂,2.0,6.4,0.0,0.49
871,挺烂,2.522,5.46,0.656,0.377
872,最烂,1.6,6.667,0.49,0.816
873,超烂,1.6,7.0,0.49,0.775
874,超级烂,1.75,6.789,0.25,0.817
875,愈烂,2.256,6.1,0.195,0.224
876,蛮烂,2.278,6.09,0.416,0.856
877,蛮蠢,2.378,5.271,0.308,0.403
878,越脏,2.389,5.667,0.567,0.408
879,愈脏,2.675,5.286,0.538,0.452
880,尤其惊人,3.586,8.38,0.264,0.328
881,相当惊人,2.75,8.0,0.829,0.0
882,异常惊人,4.567,7.975,0.529,0.066
883,最为惊人,5.129,8.338,1.22,0.387
884,极为惊人,4.15,7.75,0.848,0.522
885,十分惊讶,5.111,8.313,0.567,0.496
886,相当惊讶,5.556,8.0,0.497,0.0
887,万分惊讶,5.263,8.213,0.712,0.369
888,更加灵活,7.389,5.714,0.695,0.876
889,更为灵活,7.143,5.467,0.226,0.533
890,稍微不小心,4.0,4.429,0.0,0.495
891,还不能反抗,3.111,5.786,0.712,0.92
892,更没有心情,3.363,5.0,0.458,0.849
893,太不可爱,3.643,6.0,0.58,0.707
894,有点不可爱,4.0,3.722,0.0,0.786
895,超级不可爱,2.688,5.929,0.556,0.776
896,十分不可靠,3.0,6.15,0.0,0.776
897,太不可靠,2.722,6.333,0.533,0.667
898,完全没打,4.929,5.688,0.821,1.088
899,更不能打,5.063,6.45,0.768,1.011
900,还不能打,4.086,5.667,0.785,0.687
901,还没打,4.3,4.6,0.212,0.424
902,还不打,4.6,6.143,0.374,0.833
903,完全不能打,3.829,6.083,1.065,0.788
904,完全没有正面,3.889,5.267,0.75,0.8
905,比较不丢脸,4.875,4.625,0.927,0.484
906,完全不同情,3.625,5.143,0.599,0.639
907,尤其不同意,3.563,6.3,0.527,0.872
908,完全不同意,2.6,6.833,0.49,0.687
909,完全不能同意,2.75,6.625,0.512,0.484
910,更没有多余,4.133,5.6,0.907,0.49
911,十分不好,2.778,6.725,0.583,0.958
912,太不好,3.071,5.722,0.175,0.416
913,尤其不好,2.933,6.063,0.497,0.335
914,比较不好,4.0,4.313,0.0,0.747
915,有点不好,3.6,4.714,0.49,0.7
916,更不好,3.4,5.75,0.49,0.661
917,更加不好,3.0,6.125,0.333,0.484
918,怪不好,3.4,5.444,0.49,0.497
919,非常不好,2.333,7.0,0.471,0.775
920,很不好,2.813,5.778,0.496,0.786
921,特别不好,2.556,6.286,0.497,0.881
922,最不好,2.688,6.571,0.556,0.495
923,稍微不好,4.0,4.556,0.0,0.497
924,超不好,2.444,7.063,0.497,0.39
925,越不好,3.167,5.3,0.527,0.9
926,愈不好,3.444,5.688,0.437,0.609
927,极度不好,2.333,7.063,1.155,0.634
928,较不好,4.0,4.0,0.0,0.775
929,还没好,4.4,4.25,0.49,0.829
930,还没有好,4.0,4.714,0.0,0.452
931,还不好,3.567,5.0,0.596,0.756
932,完全没好处,3.111,6.25,0.314,0.829
933,完全没有好处,2.625,5.667,0.484,0.816
934,太不安全,2.778,6.167,0.416,0.373
935,比较不安全,4.0,4.5,0.0,0.5
936,比较没有安全,4.338,4.6,0.517,0.564
937,更不安全,3.0,6.0,0.0,0.667
938,更加不安全,3.075,5.522,0.198,0.498
939,很不安全,2.833,5.556,0.471,0.831
940,相当不安全,3.111,6.056,0.314,0.685
941,最不安全,2.5,6.0,0.5,0.707
942,超级不安全,2.0,6.857,0.667,0.833
943,越不安全,3.611,5.563,0.458,0.464
944,蛮不安全,3.778,5.667,0.478,0.527
945,还不能成功,3.975,5.563,0.156,0.583
946,还没成功,4.0,4.25,0.0,0.873
947,还没有成功,4.0,4.929,0.0,0.175
948,老不死,1.444,6.7,0.685,0.361
949,还不死,1.833,5.5,0.85,0.5
950,还不能死,3.5,6.0,0.632,0.577
951,还没死,4.944,5.444,1.117,0.685
952,还没有死,4.833,5.111,1.546,0.875
953,还没有死心,5.556,5.75,0.831,0.433
954,怪不自在,3.333,5.333,0.471,0.471
955,很不自在,3.333,5.438,0.471,0.583
956,超级不自在,2.667,6.714,0.471,0.452
957,超不自在,2.333,7.143,0.943,0.833
958,太没自信,3.0,5.778,0.0,0.786
959,比较没自信,4.0,4.688,0.0,0.658
960,比较没有自信,4.0,4.688,0.0,0.428
961,更没自信,3.333,5.857,0.471,0.35
962,很没自信,3.0,5.875,0.0,0.599
963,很没有自信,3.0,6.0,0.0,0.756
964,最没自信,2.625,6.111,0.484,0.737
965,超没自信,2.75,6.75,0.829,0.661
966,较没自信,4.0,4.0,0.0,0.667
967,比较不冷,5.375,3.667,0.484,0.471
968,较不冷,5.071,4.429,0.319,0.678
969,完全没利益,3.5,6.438,0.535,0.634
970,最没有利益,4.66,5.675,0.377,0.435
971,尤其不希望,3.275,5.417,0.424,0.449
972,好没希望,3.056,5.813,0.724,0.747
973,完全没希望,2.111,6.222,0.994,0.629
974,完全没有希望,2.0,6.786,0.0,0.92
975,更不希望,3.75,6.056,0.661,0.956
976,更没希望,3.125,6.0,0.331,0.5
977,很没希望,3.556,5.625,1.066,0.484
978,最不希望,3.0,6.333,0.816,0.471
979,比较不能忍,3.575,5.0,0.726,1.0
980,尤其不能忘记,5.25,6.111,0.433,0.567
981,更不能忘记,4.778,5.5,0.916,0.5
982,更没忘记,5.513,5.55,0.537,0.678
983,更没有忘记,5.425,6.083,0.452,0.297
984,最不能忘记,5.378,6.3,0.485,0.622
985,还不能忘记,5.0,4.429,0.0,0.495
986,还没忘记,4.933,4.433,0.356,0.581
987,还没有忘记,5.444,5.125,0.497,0.781
988,十分不快乐,2.889,6.444,0.875,0.497
989,很不快乐,2.556,6.688,0.497,0.747
990,最不快乐,2.556,6.5,0.497,1.0
991,极度不快乐,2.057,7.614,0.199,0.815
992,还不能批评,4.1,5.9,0.374,0.663
993,完全没改善,3.071,6.563,0.175,0.583
994,完全没有改善,3.0,6.056,0.0,0.762
995,还没改善,4.0,5.056,0.0,0.598
996,还不能决定,4.378,5.111,0.444,0.737
997,还没决定,4.4,4.929,0.49,0.175
998,还没有决定,4.65,4.286,0.45,0.452
999,还没有足够,4.222,4.3,0.416,0.6
1000,更不能忽略,5.611,5.071,0.458,0.175
1001,最不能忽略,5.286,5.125,0.7,0.781
1002,更不能忽视,5.0,6.125,0.707,0.927
1003,比较不怕,5.1,4.5,0.831,0.5
1004,完全不怕,6.0,5.778,0.0,0.916
1005,更不怕,5.486,6.41,0.5,0.43
1006,最不怕,5.563,6.056,0.768,0.762
1007,越不怕,6.917,6.5,0.344,0.802
1008,愈不怕,5.413,6.138,0.535,0.773
1009,较不怕,4.95,4.5,0.789,0.471
1010,蛮不怕,5.317,5.05,0.524,0.931
1011,怪不怪,4.7,4.4,0.4,0.49
1012,有点不放心,4.0,4.056,0.0,0.831
1013,更不能放弃,6.0,6.556,1.155,0.685
1014,更没有放弃,6.05,6.7,0.265,0.6
1015,还不放弃,5.214,5.778,0.7,0.629
1016,还不能放弃,5.514,6.438,0.601,0.464
1017,还没放弃,6.333,5.125,0.471,0.331
1018,还没有放弃,5.556,6.25,0.956,0.661
1019,比较没朋友,3.511,3.7,0.463,0.665
1020,好没有朋友,3.42,5.12,0.56,0.786
1021,完全没朋友,2.722,6.0,0.533,0.5
1022,完全没有朋友,2.556,5.857,0.497,0.99
1023,更没朋友,3.443,5.056,0.392,0.896
1024,极度不欣赏,1.889,7.5,0.614,0.535
1025,还没玩,4.85,5.583,0.25,0.449
1026,太没知识,3.375,5.214,0.415,0.589
1027,很没知识,3.389,4.714,0.567,0.7
1028,比较没信心,4.0,4.667,0.0,0.471
1029,比较没有信心,3.778,5.0,0.416,0.0
1030,好没信心,3.071,5.125,0.175,0.781
1031,完全没信心,3.0,6.222,0.0,0.916
1032,完全没有信心,3.0,6.222,0.0,0.786
1033,更没信心,3.0,5.2,0.0,0.872
1034,更没有信心,3.556,6.143,0.437,0.833
1035,很没信心,2.95,5.111,0.723,0.737
1036,很没有信心,3.056,5.625,0.157,0.484
1037,最没信心,2.556,6.125,0.497,0.781
1038,超没信心,2.667,7.0,0.471,0.866
1039,较没信心,3.75,5.286,0.433,0.452
1040,完全不信任,2.75,6.125,0.433,0.927
1041,更加不信任,3.063,6.125,0.165,0.599
1042,极度不信任,2.063,7.0,0.165,0.866
1043,更没有勇气,3.7,6.163,0.523,0.797
1044,完全不后悔,6.056,5.625,0.956,0.484
1045,比较不恰当,4.0,4.375,0.0,0.484
1046,非常不恰当,2.556,6.125,0.497,0.781
1047,相当不恰当,3.389,4.714,0.458,0.452
1048,还不流行,4.45,4.111,0.472,0.737
1049,还没流行,4.5,4.278,0.471,0.583
1050,太不相信,4.0,6.0,0.707,0.667
1051,完全不相信,2.625,6.188,0.484,0.496
1052,完全不能相信,3.167,6.625,0.471,0.484
1053,更不相信,3.278,5.875,0.416,0.331
1054,最不能相信,2.75,6.571,0.661,0.495
1055,还不相信,4.071,4.889,0.175,0.737
1056,比较没负担,4.611,3.929,0.809,0.175
1057,比较没有负担,5.389,3.778,0.737,0.416
1058,更没有负担,5.7,5.288,0.756,0.537
1059,最没负担,6.143,5.167,0.833,0.687
1060,最没有负担,6.5,5.333,0.75,0.553
1061,比较没风险,5.625,5.143,0.696,0.639
1062,比较没有风险,5.125,5.143,0.781,0.639
1063,完全没风险,6.563,6.0,0.464,0.632
1064,完全没有风险,6.714,5.0,0.452,1.118
1065,更没有风险,5.5,5.75,0.707,1.146
1066,最没风险,5.6,5.789,0.555,0.831
1067,最没有风险,6.944,6.143,0.643,0.639
1068,太不值得,2.75,6.625,0.512,0.484
1069,完全不值得,2.667,6.833,0.471,0.943
1070,超不值得,2.25,7.375,0.433,0.696
1071,超级不值得,2.75,6.778,0.433,0.916
1072,比较不值钱,4.0,5.0,0.0,0.775
1073,越不值钱,4.0,5.5,0.0,1.025
1074,完全不能原谅,2.5,7.0,0.5,0.667
1075,更不能原谅,3.444,5.875,0.497,0.599
1076,最不能原谅,2.333,7.0,0.471,0.816
1077,比较不害羞,5.444,3.722,0.497,0.533
1078,尤其不能容忍,2.5,6.625,0.5,0.857
1079,完全不能容忍,2.222,6.938,0.629,0.726
1080,更不能容忍,3.0,6.5,0.0,0.5
1081,最不能容忍,2.5,7.0,0.577,0.756
1082,比较没差,5.05,3.6,0.723,0.49
1083,比较没有差,4.75,4.214,0.5,0.452
1084,完全没差,5.167,5.167,0.816,0.373
1085,最没差,5.357,4.429,0.58,1.208
1086,最没有差,5.071,3.9,0.623,0.663
1087,还不差,6.0,4.444,0.0,0.497
1088,较没差,5.0,3.875,0.667,0.331
1089,太没效率,2.75,6.188,0.512,0.704
1090,太没有效率,3.167,6.438,0.408,0.39
1091,比较没效率,4.0,4.0,0.0,0.816
1092,好没效率,3.5,6.0,0.5,0.0
1093,更没效率,3.389,6.056,0.458,0.762
1094,更没有效率,3.333,5.625,0.333,0.507
1095,最没效率,2.688,6.714,0.348,0.881
1096,最没有效率,3.056,5.714,0.497,0.881
1097,较没效率,4.0,4.0,0.0,0.816
1098,很没效率,3.063,5.111,0.165,0.737
1099,很没有效率,3.389,5.563,0.458,0.464
1100,完全没贡献,3.0,5.875,0.667,0.599
1101,完全没有贡献,2.789,5.778,0.778,0.583
1102,十分不高兴,2.333,7.571,0.471,0.495
1103,有点不高兴,4.0,4.857,0.0,0.639
1104,很不高兴,2.444,6.944,0.497,0.685
1105,相当不高兴,3.0,6.5,0.0,0.463
1106,更没有强奸,4.275,8.65,1.314,0.206
1107,完全不能控制,3.05,6.556,0.723,0.497
1108,还不能控制,3.643,5.167,0.44,0.782
1109,比较不敏感,5.5,4.071,0.5,0.175
1110,较不敏感,5.278,3.625,0.533,0.484
1111,比较没救,3.556,4.714,0.497,0.452
1112,完全没救,2.333,7.125,0.471,0.599
1113,更没救,3.0,6.0,0.0,1.0
1114,很没救,2.957,6.96,0.742,0.049
1115,太不清楚,3.444,4.714,0.497,0.7
1116,比较不清楚,4.063,3.6,0.165,0.49
1117,完全不清楚,3.556,4.556,0.497,0.497
1118,更不清楚,3.0,5.333,0.0,0.471
1119,超不清楚,3.375,6.0,0.484,0.926
1120,越不清楚,4.125,5.071,0.331,0.776
1121,较不清楚,4.0,3.667,0.0,0.816
1122,还不清楚,4.063,2.75,0.165,0.433
1123,蛮不清楚,4.0,4.625,0.0,0.484
1124,十分不爽,2.4,7.444,0.49,0.497
1125,太不爽,3.0,7.5,0.0,0.5
1126,有点不爽,3.778,4.944,0.416,0.762
1127,老不爽,2.5,7.188,0.577,0.864
1128,更不爽,3.0,6.778,0.0,0.629
1129,更加不爽,3.0,7.625,0.943,0.484
1130,非常不爽,2.333,7.625,0.471,0.484
1131,很不爽,1.625,7.25,0.484,0.433
1132,相当不爽,2.667,7.0,0.471,0.0
1133,挺不爽,3.0,6.125,0.0,0.781
1134,最不爽,2.25,7.833,0.433,0.816
1135,稍微不爽,4.0,5.188,0.0,0.609
1136,超不爽,1.375,7.929,0.484,0.175
1137,超级不爽,1.9,7.688,0.831,0.428
1138,越不爽,3.263,6.3,0.427,0.6
1139,愈不爽,3.433,7.489,0.33,0.597
1140,极度不爽,2.063,7.5,0.165,0.5
1141,极为不爽,2.625,8.111,0.484,0.567
1142,还不爽,3.0,7.5,0.764,0.378
1143,还没爽,3.875,6.786,0.893,0.525
1144,蛮不爽,3.0,5.438,0.0,0.464
1145,非常不理想,2.333,6.833,0.471,0.816
1146,相当不理想,2.667,5.667,0.471,0.471
1147,较不理想,4.0,4.75,0.0,0.433
1148,蛮不理想,3.5,5.0,0.5,0.866
1149,十分不喜欢,2.5,7.071,0.463,0.319
1150,尤其不喜欢,3.35,5.857,0.45,0.639
1151,比较不喜欢,4.0,4.0,0.0,0.667
1152,有点不喜欢,4.0,5.125,0.0,0.781
1153,更不喜欢,2.722,5.813,0.533,0.609
1154,更加不喜欢,2.713,6.683,0.392,0.484
1155,怪不喜欢,3.0,6.25,0.5,0.433
1156,非常不喜欢,2.375,6.889,0.484,0.737
1157,挺不喜欢,3.111,6.0,0.737,0.0
1158,特别不喜欢,2.722,6.438,0.533,0.583
1159,超不喜欢,2.0,7.063,0.0,0.634
1160,越不喜欢,3.063,5.813,0.165,0.348
1161,愈不喜欢,3.0,5.286,0.0,0.452
1162,蛮不喜欢,3.611,5.625,0.458,0.484
1163,最不喜欢,2.375,6.286,0.484,0.881
1164,超级不喜欢,2.375,7.313,0.484,0.556
1165,太不尊重,2.444,7.0,0.497,0.535
1166,完全不尊重,2.556,7.0,0.497,0.866
1167,完全没有尊重,2.556,6.571,0.497,0.495
1168,很不尊重,2.556,6.75,0.497,0.433
1169,相当不尊重,2.444,6.444,0.497,0.497
1170,最不尊重,2.75,6.929,0.354,0.495
1171,超不尊重,2.5,7.167,0.5,0.577
1172,超级不尊重,2.556,7.0,0.685,0.667
1173,极度不尊重,2.0,7.125,0.0,0.781
1174,蛮不尊重,3.556,5.444,0.497,0.497
1175,太没有尊严,2.929,6.571,0.175,0.416
1176,好没尊严,3.0,5.543,0.294,0.475
1177,更没尊严,3.278,6.167,0.583,0.745
