No.,text,Valence_Mean,Arousal_Mean,Valence_SD,Arousal_SD
633,帅气,7.0,6.0,0.632,1.265
634,幽默,7.0,5.6,0.0,1.96
635,后悔,3.2,4.2,0.748,2.4
636,怒,2.4,7.2,1.02,0.98
637,怒不,3.8,5.8,0.837,1.095
638,怒火,2.4,7.6,0.49,0.8
639,怒斥,2.0,8.6,0.632,0.49
640,怒目,2.6,8.0,0.49,0.632
641,怒色,2.8,7.4,0.4,1.02
642,怒吼,2.0,8.8,0.894,0.4
643,怒气,2.4,7.8,0.49,0.4
644,怒视,2.4,8.0,0.49,0.632
645,怒骂,1.8,8.8,0.748,0.4
646,思,4.4,4.8,0.8,0.98
647,思念,4.4,4.4,1.02,1.625
648,思乡,3.8,5.8,0.748,0.748
649,恍惚,3.8,3.8,0.4,1.47
650,恨,2.4,7.2,0.8,0.98
651,恬,5.4,3.6,0.8,2.154
652,恰当,6.0,4.2,0.632,1.47
653,拮据,3.2,3.8,0.4,1.47
654,拯救,6.4,6.6,0.8,1.02
655,拷打,2.6,7.6,0.8,0.49
656,拷问,2.8,7.0,0.748,0.0
657,拼命,5.2,7.6,0.98,0.49
658,挑剔,3.8,5.4,0.748,1.356
659,挑战,6.2,6.8,0.748,0.4
660,挑衅,3.2,6.8,0.4,0.4
661,挖苦,3.4,5.8,0.49,0.748
662,柔,5.2,3.0,0.4,1.673
663,柔软,5.8,3.4,0.4,1.02
664,柔顺,5.8,3.2,0.4,1.166
665,柔肠寸断,1.8,7.8,0.748,0.748
666,歪曲,3.6,4.0,0.49,1.414
667,毒,2.8,5.8,0.748,0.98
668,泄气,3.6,3.6,0.49,1.625
669,活力,6.6,6.2,0.49,0.98
670,活泼,6.8,6.4,0.4,0.8
671,活跃,6.4,7.6,0.8,0.8
672,流行,5.6,5.2,0.49,0.4
673,流泪,3.2,5.4,0.748,1.96
674,炫耀,3.8,6.0,0.4,0.894
675,为难,3.4,4.8,0.49,1.327
676,狠心,2.4,7.4,0.49,0.49
677,珍奇,6.8,5.8,0.4,1.47
678,珍惜,7.0,5.0,0.632,1.673
679,珍视,7.0,5.2,0.632,1.939
680,珍贵,7.0,5.4,0.632,1.356
681,珍爱,7.2,6.0,0.748,1.789
682,珍藏,6.6,5.4,0.8,2.245
683,盼望,6.2,5.4,1.327,1.855
684,看不起,3.2,6.0,0.748,1.095
685,约束,4.6,4.6,0.49,1.356
686,美人,6.0,5.4,0.632,1.855
687,美好,6.8,5.6,0.4,1.356
688,美妙,7.0,6.2,0.632,1.6
689,美味,6.8,5.6,0.748,1.02
690,美梦,6.8,5.8,0.748,2.04
691,美满,7.4,6.4,0.49,1.744
692,美德,7.4,5.2,1.02,2.315
693,美丽,7.2,5.8,0.4,2.135
694,背叛,2.0,8.0,0.632,0.894
695,胡扯,3.0,7.6,0.632,0.49
696,致命,2.0,7.8,0.632,0.748
697,苛求,3.0,6.6,0.632,1.02
698,若无其事,4.0,4.6,0.632,1.855
699,苦,3.2,4.6,0.748,1.356
700,苦恼,3.2,5.0,0.4,1.673
701,英俊,6.6,4.4,0.8,2.059
702,英勇,7.0,6.6,0.632,0.8
703,英雄,7.6,7.0,0.8,1.414
704,虐待,2.2,7.4,0.4,0.8
705,负心,2.4,6.2,0.49,2.227
706,负债,3.2,6.0,0.4,1.265
707,负担,3.6,5.2,0.49,1.166
708,迫害,2.2,7.4,0.748,0.49
709,重大,4.8,7.2,0.4,0.748
710,重担,3.8,7.2,0.748,0.4
711,陌生,4.0,3.8,0.632,1.166
712,降级,3.6,5.8,0.49,2.04
713,面临,4.8,5.8,0.4,1.47
714,风险,3.8,6.4,0.748,1.2
715,首要,5.2,5.0,0.4,1.673
716,首创,5.4,5.6,0.8,2.059
717,倒楣,3.2,5.4,0.748,1.356
718,倒霉,3.2,5.4,0.748,1.356
719,倔强,4.2,6.4,1.166,0.8
720,值得,6.4,5.6,0.8,1.356
721,值钱,6.2,5.6,0.748,1.2
722,凌乱,3.4,6.0,0.49,0.894
723,剥夺,3.0,6.6,0.894,1.02
724,哭泣,2.8,6.6,0.748,0.8
725,哭喊,2.8,7.8,0.748,0.748
726,哭诉,2.8,6.8,0.748,0.4
727,哭闹,2.8,7.4,0.748,0.49
728,哽咽,3.0,6.4,0.894,1.02
729,唐突,3.6,5.4,0.49,1.02
730,奚落,3.2,6.0,0.748,1.549
731,娱乐,6.4,6.2,0.49,1.6
732,害怕,3.2,5.6,0.4,1.497
733,害羞,4.2,4.6,1.166,1.356
734,容光焕发,7.2,5.0,0.4,2.098
735,容忍,3.6,5.6,1.02,1.02
736,差,3.4,4.6,0.8,1.356
737,差劲,3.4,6.8,0.8,0.748
738,弱,3.8,4.6,0.4,1.625
739,弱点,3.8,4.8,0.4,1.6
740,徒劳无功,3.4,4.4,0.49,1.356
741,恐怖,3.0,6.8,0.632,0.4
742,恐慌,3.0,7.0,0.632,0.894
743,恐吓,2.4,7.4,0.8,0.8
744,恐惧,2.6,6.8,0.8,0.748
745,恩典,6.8,4.6,0.4,1.356
746,恩惠,6.4,5.0,0.49,1.673
747,恭维,5.0,4.6,0.632,1.356
748,悔之,4.2,5.6,1.47,1.356
749,悔改,4.0,6.0,0.894,1.549
750,悔恨,2.8,7.4,1.166,0.49
751,悔悟,3.2,7.0,0.98,0.632
752,悔意,3.0,5.8,0.0,0.748
753,悔过,2.8,6.2,0.4,1.166
754,挫折,3.0,5.0,0.632,1.897
755,挫败,3.0,6.8,0.632,1.166
756,振奋,7.2,7.0,0.748,0.632
757,捐赠,6.4,5.2,0.8,1.72
758,效率,6.2,4.8,0.98,1.6
759,时髦,6.4,5.2,0.49,1.72
760,书呆子,3.6,4.2,0.49,1.166
761,栩栩如生,6.8,5.4,0.98,1.96
762,气急败坏,2.4,7.8,0.49,0.4
763,气愤,2.4,7.0,0.49,0.632
764,气馁,2.8,4.0,0.98,1.265
765,浪漫,6.6,6.0,1.02,1.095
766,消沉,3.4,4.2,0.49,1.72
767,消极,3.2,4.0,0.748,2.28
768,消灭,3.6,6.0,1.02,1.265
769,狭小,3.8,4.0,0.4,1.673
770,狭隘,3.8,4.2,0.4,1.47
771,疲乏,3.0,3.8,0.894,1.939
772,疲于奔命,2.4,6.0,1.02,1.095
773,疲倦,3.0,4.0,0.894,1.673
774,疲弱,3.0,3.6,0.894,1.356
775,疲累,3.0,3.6,0.894,1.356
776,疲劳,3.0,3.8,0.894,1.166
777,疲惫,3.0,3.6,0.894,1.356
778,疼痛,3.4,6.0,0.49,0.894
779,疼爱,7.0,6.4,0.894,1.2
780,益处,6.6,5.2,0.49,1.327
781,真心,7.0,5.6,0.894,2.059
782,真相,6.4,5.4,1.02,1.497
783,真理,6.4,5.6,1.02,1.744
784,真诚,7.0,5.0,0.632,1.095
785,真实,6.0,4.6,0.894,1.356
786,破灭,3.0,7.0,0.632,1.095
787,破坏,2.8,6.8,0.748,0.98
788,祝贺,7.0,6.2,0.632,1.166
789,祝福,6.6,5.8,0.49,1.47
790,神经病,2.8,6.4,0.748,1.02
791,神经质,3.2,5.6,0.4,1.497
792,神圣,7.2,5.0,0.748,1.673
793,笑,6.8,5.8,0.748,0.98
794,笑死,5.4,7.0,1.96,0.894
795,笑容,7.2,5.2,0.98,1.72
796,笑话,5.8,4.8,0.748,1.6
797,纷争,3.0,6.6,0.632,1.02
798,缺少,3.6,4.4,0.49,1.2
799,缺乏,3.4,4.6,0.49,1.356
800,缺失,3.6,4.4,0.49,1.744
801,缺陷,3.0,4.6,0.632,1.855
802,缺德,2.8,6.8,0.748,1.166
803,缺憾,2.6,6.2,0.8,2.227
804,缺点,3.6,4.6,0.49,1.356
805,能干,6.8,6.0,0.748,1.549
806,胁迫,2.6,7.2,0.49,0.4
807,脆弱,3.4,4.6,0.49,1.744
808,臭,3.8,4.6,0.4,1.625
809,臭味,3.8,5.0,0.4,1.673
810,臭气,3.6,5.4,0.49,1.855
811,茫然,3.4,3.4,0.8,1.744
812,草率,3.4,4.8,0.8,1.327
813,荒唐,2.8,6.8,0.748,0.4
814,荒谬,2.6,7.2,1.02,0.748
815,虔诚,6.6,5.4,0.8,1.855
816,衰,3.6,4.2,0.49,1.166
817,衰老,3.4,4.2,0.49,1.47
818,衰弱,3.2,5.0,0.4,2.098
819,衰退,3.2,5.0,0.4,1.789
820,衰败,3.0,6.2,0.632,2.227
821,衰微,3.2,4.8,0.4,1.47
822,衷心,6.6,5.4,0.49,1.356
823,讨喜,6.8,6.0,0.4,1.095
824,回避,3.6,5.0,0.49,1.673
825,迷人,6.8,6.2,0.4,1.166
826,迷失,3.4,4.6,0.49,1.356
827,迷惘,3.4,5.0,0.49,2.098
828,迷惑,3.4,4.6,0.49,1.02
829,迷乱,3.2,6.2,1.166,0.748
830,迷路,4.2,5.2,0.98,1.833
831,迷恋,4.4,6.2,1.02,1.72
832,逃离,4.0,6.2,0.0,0.98
833,逆向,4.0,4.4,1.095,2.059
834,高贵,6.6,4.0,0.8,1.414
835,高阶,5.8,3.8,0.748,1.939
836,高雅,7.0,4.0,0.632,1.789
837,高傲,3.2,6.0,0.98,1.549
838,高兴,7.0,6.6,0.632,1.02
839,假装,4.2,4.6,0.748,0.49
840,伟大,7.2,6.6,0.748,1.356
841,偏心,3.2,5.4,0.4,1.356
842,偏好,5.2,4.0,0.4,1.789
843,偏见,3.4,5.6,0.49,0.49
844,偏执,3.6,5.6,0.8,1.855
845,偏爱,5.0,4.8,0.632,1.327
846,偷,2.4,5.0,0.8,1.673
847,偷取,2.4,6.4,0.8,1.02
848,偷窃,2.4,7.0,0.8,1.414
849,伪造,2.6,6.0,0.8,0.894
850,动人,6.8,6.2,0.4,0.748
851,动听,7.0,6.6,0.632,1.2
852,啜泣,3.0,6.8,0.632,0.748
853,执拗,3.6,6.0,0.49,0.632
854,坚决,5.4,6.2,0.49,1.327
855,坚定,6.2,6.4,0.98,1.497
856,坚强,6.8,6.2,0.748,1.327
857,娼妓,2.8,5.8,0.98,1.6
858,寂寞,3.2,4.6,0.4,2.059
859,寂寥,3.2,2.4,0.748,1.2
860,崇拜,6.4,6.8,0.8,0.748
861,崇高,7.2,6.4,0.748,1.497
862,强,6.4,5.4,0.49,1.356
863,强力,6.2,6.4,0.748,1.356
864,强壮,6.8,5.4,0.748,1.02
865,强奸,1.4,8.4,0.8,0.8
866,强迫,2.8,7.4,0.748,0.8
867,强烈,4.8,7.8,0.4,0.748
868,强健,6.6,6.4,0.49,1.2
869,强硬,4.8,7.0,1.166,1.265
870,强暴犯,1.4,8.6,0.8,0.8
871,得意,5.8,5.4,0.98,1.356
872,得意洋洋,4.6,6.6,0.8,1.02
873,得罪,3.2,5.6,0.4,1.356
874,得体,6.2,4.6,0.748,1.02
875,徘徊,4.6,4.6,0.49,0.8
876,从容,5.8,3.4,0.748,1.02
877,悠闲,6.4,2.6,0.49,1.497
878,患病,2.8,4.8,0.98,1.6
879,情绪,4.6,5.4,0.8,0.8
880,惋惜,3.0,4.4,0.632,1.625
881,扫兴,3.2,4.8,0.4,1.833
882,排斥,3.2,6.0,0.748,0.894
883,挣扎,3.2,7.4,1.166,0.8
884,挂念,4.8,5.2,1.47,1.47
885,挂虑,4.8,6.0,1.47,0.0
886,控制,4.2,5.0,0.98,2.098
887,推崇,6.4,5.8,0.8,0.98
888,敏捷,6.2,5.4,0.4,1.356
889,敏感,4.6,5.0,0.8,1.095
890,敏锐,6.4,5.2,0.49,1.327
891,救,5.0,6.4,1.414,0.49
892,败坏,2.6,7.6,1.02,0.8
893,欲绝,2.0,8.2,1.095,0.748
894,杀,1.6,7.8,1.2,1.166
895,杀死,1.4,8.2,0.8,0.748
896,淘气,5.6,5.6,1.02,1.356
897,泪流满面,2.0,7.8,0.894,0.748
898,泪珠,3.6,4.6,0.8,1.356
899,淡漠,4.0,2.2,0.632,1.47
900,净土,5.4,3.2,0.49,1.6
901,深思,5.2,2.6,0.98,1.356
902,深情,7.2,5.2,0.748,1.6
903,深爱,8.0,6.4,0.894,2.245
904,混帐,1.6,8.0,0.49,0.632
905,混乱,3.0,6.4,0.632,0.8
906,淹没,3.6,5.6,1.02,1.744
907,清白,6.2,3.4,0.748,1.497
908,清楚,5.6,3.8,0.49,1.47
909,爽,7.2,7.2,0.748,0.748
910,爽心,7.2,7.0,0.748,0.894
911,爽快,7.4,6.8,0.49,0.748
912,爽约,3.2,5.4,0.748,1.855
913,爽朗,6.8,5.2,0.4,1.47
914,牵挂,4.4,5.0,1.356,1.265
915,猛烈,4.6,8.4,0.8,0.49
916,猜疑,3.2,5.6,0.4,0.8
917,理智,6.2,3.6,0.748,1.625
918,理想,6.8,5.0,0.98,1.265
919,甜言,6.4,5.0,0.8,1.673
920,甜美,6.6,3.6,0.8,1.497
921,甜密,7.0,5.0,1.095,1.897
922,甜甜,6.4,4.4,0.8,1.96
923,甜蜜,6.8,5.4,0.98,2.059
924,甜头,5.8,4.6,1.166,1.855
925,疏忽,3.4,5.4,0.49,1.02
926,疏漏,3.4,5.4,0.49,1.02
927,盛怒,1.8,8.6,0.748,0.8
928,眼花撩乱,4.4,5.6,0.8,2.417
929,眼花缭乱,4.4,5.6,0.8,2.417
930,眼泪,3.4,5.8,0.8,0.98
931,众怒,2.0,8.0,0.632,0.894
932,窒息,2.2,4.8,1.166,2.561
933,窒碍,2.6,6.8,0.49,0.748
934,笨,3.4,5.4,0.49,1.356
935,笨手笨脚,3.2,6.0,0.4,1.095
936,笨拙,3.2,4.8,0.4,1.72
937,粗心,3.8,4.8,0.4,1.6
938,粗俗,3.0,5.6,0.632,1.497
939,粗野,3.0,6.8,0.894,0.98
940,粗暴,2.2,8.2,0.4,0.4
941,粗鲁,3.4,6.0,0.8,2.098
942,累,3.6,4.6,0.49,1.497
943,细心,5.2,3.6,1.166,1.2
944,统治,5.2,6.2,0.748,1.166
945,羞怯,3.6,4.4,0.49,1.744
946,羞耻,2.6,7.4,1.02,0.8
947,羞辱,2.0,7.8,0.632,0.98
948,羞愧,2.8,7.2,0.748,0.748
949,羞愤,2.2,7.8,0.4,0.4
950,庄严,5.8,3.4,0.748,1.356
951,处罚,3.4,6.0,0.8,0.894
952,设防,5.0,4.8,0.632,1.939
953,许诺,5.8,4.8,0.4,1.47
954,贫困,3.2,4.4,0.4,1.02
955,贫苦,2.8,5.4,0.4,1.02
956,贫病,2.8,4.6,0.4,1.02
957,贫穷,2.8,4.6,0.4,1.02
958,贫贱,2.4,7.4,0.49,0.49
959,贪,3.2,5.4,0.4,1.625
960,贪心,3.0,5.6,0.0,1.744
961,贪生,3.0,5.4,0.0,1.497
962,贪污,1.8,7.6,0.748,1.497
963,贪求,3.2,5.8,0.4,1.166
964,贪念,3.6,5.0,0.49,2.098
965,贪婪,2.8,6.6,0.748,1.497
966,贪图,3.0,5.8,0.632,1.939
967,贪欲,3.6,5.6,0.49,1.744
968,软弱,3.6,3.6,0.49,1.2
969,逗趣,6.4,5.2,0.49,0.748
970,逝世,2.4,4.2,0.49,2.315
971,造反,2.2,7.8,0.748,0.4
972,野蛮,3.0,6.8,0.632,0.98
973,阴沉,3.2,3.4,0.4,1.02
974,阴森,3.2,3.6,0.4,0.8
975,阴暗,3.6,3.8,0.49,0.98
976,陈腐,2.8,5.0,0.748,1.673
977,陶醉,6.4,4.4,0.49,1.625
978,麻木,4.0,3.2,0.632,1.6
979,麻烦,3.6,5.0,0.49,0.894
980,凯旋,7.2,7.0,0.4,0.0
981,创伤,2.8,6.2,0.4,0.748
982,胜利,7.8,7.2,0.748,1.166
983,胜过,6.2,5.8,0.748,0.748
984,博爱,6.8,4.6,0.748,1.855
985,博学,6.8,4.8,0.4,1.6
986,善心,6.8,4.2,0.98,1.47
987,善良,7.4,4.4,1.02,1.356
988,善意,6.8,5.0,0.4,1.673
989,喜上眉稍,7.4,6.8,0.49,0.98
990,喜出望外,7.8,7.6,0.748,0.49
991,喜形于色,7.4,6.8,0.49,0.748
992,喜怒哀乐,5.0,5.2,0.0,0.4
993,喜怒无常,3.4,5.8,0.49,0.748
994,喜宴,6.6,6.2,0.49,1.72
995,喜悦,7.4,6.2,0.49,1.166
996,喜气,7.0,5.0,0.632,1.414
997,喜从天降,7.4,7.0,0.49,1.095
998,喜新厌旧,3.4,5.2,0.49,1.327
999,喜极而泣,8.2,8.4,0.4,0.49
1000,喜剧,6.8,5.0,0.98,2.098
1001,喜庆,7.4,6.6,0.49,1.2
1002,喝采,7.4,7.0,0.49,1.095
1003,丧心,3.0,6.2,0.0,1.6
1004,丧生,1.8,6.6,0.748,1.356
1005,丧志,2.4,5.4,0.49,2.154
1006,丧气,3.0,5.0,0.632,1.673
1007,丧偶,2.6,6.2,1.02,1.166
1008,丧尽,2.8,7.0,0.748,0.632
1009,丧胆,2.8,7.6,0.748,1.02
1010,丧礼,2.0,4.4,0.894,2.154
1011,报仇,2.8,8.0,1.166,0.0
1012,报复,2.2,7.6,0.748,1.02
1013,富有,7.2,4.8,0.4,1.6
1014,富裕,7.4,5.4,0.49,1.855
1015,寒酸,3.6,4.2,0.49,1.6
1016,尊重,6.8,5.2,0.748,1.327
1017,尊贵,6.8,5.2,0.748,0.98
1018,尊敬,7.0,5.4,1.095,1.497
1019,尊荣,7.6,5.2,0.8,1.939
1020,尊严,6.2,5.2,0.98,1.6
1021,寻欢作乐,4.2,6.4,0.748,1.2
1022,就绪,5.2,3.6,0.4,1.625
1023,复仇,2.2,7.6,0.4,0.49
1024,悲哀,2.6,4.6,0.49,2.154
1025,悲苦,2.4,5.0,0.49,1.673
1026,悲凄,2.2,4.8,0.748,1.939
1027,悲情,3.0,5.0,0.632,1.265
1028,悲喜,4.4,5.4,0.8,1.356
1029,悲痛,2.6,6.8,0.8,0.98
1030,悲伤,2.8,6.0,0.748,1.095
1031,悲愁,2.8,4.6,0.4,1.855
1032,悲惨,2.2,7.0,0.4,1.095
1033,悲恸,1.8,8.4,0.748,0.49
1034,悲剧,2.2,6.4,0.748,0.8
1035,悲愤,2.4,7.8,0.49,0.4
1036,悲悯,2.8,5.0,0.4,2.28
1037,悲欢,4.8,5.4,0.4,1.744
1038,悲观,3.2,4.4,0.4,1.625
1039,闷,3.8,4.0,0.4,1.265
1040,闷闷不乐,3.6,4.0,0.49,0.894
1041,恶人,2.8,6.2,0.748,0.98
1042,恶化,2.8,6.2,0.4,0.748
1043,恶劣,2.6,6.8,0.8,1.166
1044,恶言,2.6,6.6,0.49,0.49
1045,恶性,2.8,6.4,0.4,0.8
1046,恶毒,2.0,7.4,0.632,0.49
1047,恶狠狠,2.4,7.8,0.49,0.4
1048,恶耗,2.0,7.4,0.894,0.49
1049,恶臭,2.8,6.6,0.748,1.2
1050,恶斗,2.6,7.6,0.49,0.8
1051,恶意,2.8,6.8,0.4,0.748
1052,恶运,2.8,6.0,0.4,0.894
1053,恶梦,3.0,6.8,0.632,0.748
1054,恼,3.2,6.6,0.748,0.8
1055,惶,3.4,6.4,0.49,1.02
1056,愉,5.8,5.2,1.47,1.327
1057,提防,4.6,6.0,1.2,1.095
1058,散漫,3.4,4.0,0.49,1.673
1059,景仰,6.8,5.8,0.4,0.748
1060,智慧,7.4,4.0,0.49,1.673
1061,最好,6.8,6.2,0.4,0.748
1062,最佳,7.2,6.4,0.4,1.02
1063,期盼,6.2,6.0,0.748,1.265
1064,棒,6.8,5.8,0.748,1.47
1065,棘手,3.4,6.2,0.49,0.748
1066,欺,3.2,6.2,0.98,0.748
1067,钦佩,7.2,5.8,0.4,0.98
1068,残忍,2.0,7.8,0.632,0.748
1069,残酷,1.8,8.2,0.748,0.4
1070,残暴,1.6,8.8,0.49,0.4
1071,渴求,5.0,6.8,0.0,0.98
1072,渴望,5.6,5.8,1.2,1.166
1073,无用,3.6,4.4,0.49,1.625
1074,无助,3.4,4.8,0.49,1.6
1075,无味,4.4,3.2,0.8,1.6
1076,无奈,3.6,4.2,0.8,0.748
1077,无知,3.6,4.4,0.8,1.356
1078,无畏,6.6,6.4,0.8,1.02
1079,无害,5.6,4.2,0.8,1.47
1080,无效,4.2,4.4,0.4,1.2
1081,无益,3.8,3.8,0.4,1.47
1082,无能,3.0,6.0,0.632,0.894
1083,无常,3.6,4.2,0.49,1.166
1084,无望,2.8,4.8,0.4,1.327
1085,无聊,3.8,3.4,0.4,1.356
1086,无辜,4.4,4.0,1.356,1.789
1087,无意义,4.2,4.0,0.748,1.265
1088,无精打采,3.6,3.4,0.49,1.356
1089,无忧无虑,7.0,3.6,0.0,1.625
1090,无关紧要,4.6,3.4,0.49,1.356
1091,无惧,5.8,5.8,1.47,1.166
1092,焦急,3.0,7.0,0.632,0.632
1093,焦虑,3.2,6.4,0.748,0.8
1094,犹疑,4.0,5.2,0.894,0.748
1095,犹豫,4.2,4.8,0.748,1.47
1096,痛,3.0,6.2,0.632,0.98
1097,痛不欲生,1.8,8.4,0.748,0.49
1098,痛苦,2.4,6.8,0.49,0.748
1099,痛哭流涕,1.8,8.0,0.748,0.632
1100,发抖,3.4,6.2,0.49,0.98
1101,发牢骚,3.6,6.0,0.49,1.414
1102,发狂,2.6,7.8,0.49,0.748
1103,发怒,2.4,8.0,0.49,0.894
1104,发臭,3.2,5.8,0.748,1.166
1105,发愁,3.0,6.2,0.632,1.327
1106,盗,3.0,5.8,0.894,1.47
1107,结巴,4.0,4.6,0.0,1.356
1108,绝妙,6.8,6.8,0.4,0.4
1109,绝望,2.2,6.0,0.98,2.0
1110,脾气,4.8,4.4,0.4,1.96
1111,舒服,6.6,3.6,0.49,1.02
1112,舒适,6.8,3.6,0.4,1.2
1113,华丽,6.8,5.6,0.748,1.96
1114,著迷,5.6,7.0,1.497,0.632
1115,虚心,6.2,2.6,1.327,1.356
1116,虚弱,3.0,3.4,0.0,1.855
1117,虚荣,3.0,6.2,0.632,1.327
1118,虚荣心,3.0,6.0,0.632,1.095
1119,诉苦,3.2,6.6,0.98,0.8
1120,诈骗,2.6,7.0,0.8,1.095
1121,费力,3.4,6.2,0.49,0.98
1122,跛,3.2,5.0,0.98,1.673
1123,跛脚,3.2,5.2,0.98,1.939
1124,钝,3.8,2.6,0.98,1.2
1125,开心,7.2,6.6,0.748,1.02
1126,开明,7.0,5.0,0.894,1.673
1127,开朗,7.2,5.4,1.166,1.356
1128,闲散,4.6,2.2,1.02,0.748
1129,阳光,7.2,5.0,1.47,1.897
1130,隆重,6.6,7.0,1.02,0.894
1131,雅致,6.8,4.4,0.748,1.2
1132,顺利,7.0,5.0,0.894,1.673
1133,乱,3.6,5.8,0.49,0.98
1134,傲慢,2.8,6.0,0.748,1.414
1135,传情,6.4,5.4,0.49,1.855
1136,债务,3.0,5.2,0.632,0.748
1137,伤,3.4,5.2,0.8,1.327
1138,伤人,3.2,6.8,0.748,1.166
1139,伤亡,2.2,7.4,0.4,1.02
1140,伤天害理,1.4,8.0,0.49,1.095
1141,伤心,3.0,6.2,0.632,1.166
1142,伤害,2.8,6.6,0.4,1.02
1143,伤神,3.4,5.6,0.49,2.059
1144,伤痕,3.6,5.0,0.49,1.414
1145,伤悲,3.0,6.0,0.632,0.894
1146,伤残,2.8,5.8,0.748,0.98
1147,伤痛,3.0,6.6,0.632,1.02
1148,伤势,3.4,4.6,0.49,1.625
1149,伤感,3.4,5.2,0.49,1.327
1150,傻,3.6,4.0,0.49,1.265
1151,傻子,3.6,4.2,0.49,0.98
1152,傻笑,4.0,5.4,0.894,0.49
1153,势利,3.2,5.4,0.748,1.855
1154,呜咽,2.6,5.6,0.8,1.855
1155,嫉,3.0,6.2,0.632,1.166
1156,嫌,3.0,5.8,0.632,1.166
1157,徬徨,4.0,4.4,0.632,1.356
1158,微笑,6.4,4.6,0.49,1.356
1159,微醺,5.8,5.2,0.748,1.6
1160,想念,4.8,5.4,0.4,1.96
1161,惹恼,3.0,7.2,0.894,0.4
1162,愁,3.4,4.8,0.49,1.939
1163,愚笨,3.2,4.0,0.748,1.673
1164,爱心,7.0,4.6,0.0,1.356
1165,爱情,7.0,5.8,0.0,1.6
1166,爱慕,6.8,6.2,0.98,1.6
1167,爱护,7.0,5.4,0.632,1.356
1168,感恩,7.2,4.8,0.4,0.4
1169,感情,5.4,5.2,0.8,0.748
1170,感伤,3.8,5.4,0.4,1.744
1171,感激,6.8,7.2,0.748,0.748
1172,愧,3.4,6.2,0.49,0.748
1173,慈祥,7.0,4.2,0.0,1.47
1174,慈善,7.0,4.6,0.0,1.855
1175,慈悲,5.6,5.0,1.2,2.53
1176,慌,3.2,6.8,0.748,0.4
1177,损人,3.0,6.2,0.894,0.748
1178,损害,2.8,6.4,0.748,0.8
1179,损伤,2.8,6.8,0.748,0.4
1180,损坏,2.6,7.2,0.49,0.748
1181,搏斗,3.2,7.2,0.748,0.748
1182,敬畏,6.8,6.4,0.98,1.02
1183,敬重,7.0,6.0,0.632,0.894
1184,敬意,6.6,4.8,0.8,1.47
1185,暖和,6.4,4.0,0.49,1.265
1186,业障,3.0,5.8,0.0,1.72
1187,极好,7.8,7.8,0.748,0.98
1188,极端,4.4,7.0,0.8,1.095
1189,极乐,6.8,6.6,1.166,0.8
1190,毁掉,2.8,6.6,0.4,1.02
1191,毁败,2.8,6.4,0.4,1.356
1192,毁弃,2.8,6.6,0.4,1.625
1193,毁伤,2.6,6.4,0.49,1.356
1194,毁损,2.8,6.2,0.4,1.72
1195,毁灭,2.8,7.6,0.4,1.02
1196,毁谤,2.6,7.4,0.49,0.49
1197,毁坏,3.2,5.8,0.4,0.748
1198,温和,6.0,3.6,0.0,1.356
1199,温柔,6.6,4.2,0.49,1.166
1200,温情,6.6,4.8,0.8,1.166
1201,温暖,7.2,4.2,0.98,1.166
1202,温馨,7.4,4.0,0.8,1.095
1203,滑稽,4.2,5.0,0.4,1.095
1204,烦,3.4,5.4,0.49,1.02
1205,烦人,3.4,6.2,0.49,0.98
1206,烦心,3.2,6.0,0.4,0.632
1207,烦忙,3.2,6.2,0.4,1.72
1208,烦劳,3.2,5.8,0.4,1.6
1209,烦闷,3.0,5.8,0.0,1.47
1210,烦恼,3.0,6.2,0.632,1.166
1211,烦乱,3.0,7.2,0.632,1.166
1212,烦愁,2.8,6.8,0.4,0.4
1213,烦琐,3.6,5.6,0.49,1.497
1214,烦扰,3.4,6.0,0.49,1.789
1215,烦杂,3.4,6.0,0.49,1.789
1216,烦躁,3.2,7.6,0.4,1.2
1217,痴狂,4.0,7.6,0.894,0.49
1218,禁止,3.4,5.2,0.8,1.327
1219,禁忌,3.0,5.2,0.632,1.327
1220,罪,3.0,5.4,0.0,1.02
1221,罪人,2.8,6.0,0.4,0.632
1222,罪大恶极,1.4,8.8,0.49,0.4
1223,罪犯,2.6,6.0,0.49,0.632
1224,罪名,2.6,5.2,0.49,1.327
1225,罪行,2.4,6.0,0.8,0.632
1226,罪恶,2.2,7.0,0.748,0.632
1227,罪过,2.6,6.4,0.49,0.8
1228,罪孽,2.0,7.6,0.632,0.49
1229,羡慕,6.0,5.6,1.414,0.49
1230,义,6.4,6.0,0.894,0.707
1231,义愤,3.2,7.6,1.166,0.49
1232,万念俱灰,1.4,7.4,0.49,1.356
1233,万岁,7.6,7.6,0.8,0.8
1234,落伍,3.6,4.2,0.49,1.47
1235,落空,3.4,5.8,0.8,1.6
1236,解决,6.2,4.8,0.98,1.47
1237,解脱,6.2,6.0,0.748,0.894
1238,诧异,4.2,6.8,0.4,1.166
1239,诡计,3.4,5.2,0.49,1.327
1240,诙谐,6.4,4.6,1.2,1.356
1241,夸大,3.6,5.0,0.49,1.265
1242,诚,6.8,4.8,0.748,0.4
1243,诚心,7.0,4.6,0.632,0.49
1244,诚实,7.2,4.8,0.748,0.4
1245,贼,2.6,6.0,0.8,1.265
1246,躲避,3.6,4.8,0.49,1.6
1247,遇难,2.0,6.4,0.894,2.577
1248,过失,3.0,5.4,0.632,1.625
